Comment,Designator,Footprint,LCSC,Quantity
TestPoint,LP3,TestPoint_Pad_1.0x1.0mm,,1
C,C50,C_0805_2012Metric,,1
MCP41HV51-103E_ST,VR13,SOP65P640X120-14N,,1
C,C141,C_0805_2012Metric,,1
OPA1612AxD,U24,SOIC-8_5.3x6.2mm_P1.27mm,,1
TestPoint,BP4,TestPoint_Pad_1.0x1.0mm,,1
C,C196,C_0805_2012Metric,,1
15k,R119,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
15k,R118,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
130k,R117,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
130k,R116,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10uF,C213,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10uF,C212,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10uF,C211,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10uF,C210,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
