Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
VR31,MCP41HV51-103E_ST,SOP65P640X120-14N,247.37475,-218.60505,90.0,top
VR32,MCP41HV51-103E_ST,SOP65P640X120-14N,230.22475,-195.75505,0.0,top
VR33,MCP41HV51-103E_ST,SOP65P640X120-14N,230.97475,-202.25505,0.0,top
VR34,MCP41HV51-103E_ST,SOP65P640X120-14N,244.77475,-186.70505,180.0,top
VR35,MCP41HV51-103E_ST,SOP65P640X120-14N,285.364,-219.059,90.0,top
VR36,MCP41HV51-103E_ST,SOP65P640X120-14N,268.214,-196.209,0.0,top
VR37,MCP41HV51-103E_ST,SOP65P640X120-14N,268.964,-202.709,0.0,top
VR38,MCP41HV51-103E_ST,SOP65P640X120-14N,282.764,-187.159,180.0,top
VR39,MCP41HV51-103E_ST,SOP65P640X120-14N,323.159272,-219.06814,90.0,top
VR4,MCP41HV51-103E_ST,SOP65P640X120-14N,297.597332,-108.306676,90.0,top
VR40,MCP41HV51-103E_ST,SOP65P640X120-14N,306.009272,-196.21814,0.0,top
VR41,MCP41HV51-103E_ST,SOP65P640X120-14N,306.759272,-202.71814,0.0,top
VR42,MCP41HV51-103E_ST,SOP65P640X120-14N,320.559272,-187.16814,180.0,top
VR5,MCP41HV51-103E_ST,SOP65P640X120-14N,317.5,-132.715,90.0,top
VR6,MCP41HV51-103E_ST,SOP65P640X120-14N,330.634265,-172.208303,-90.0,top
VR7,MCP41HV51-103E_ST,SOP65P640X120-14N,254.619626,-171.900931,-90.0,top
VR8,MCP41HV51-103E_ST,SOP65P640X120-14N,292.734265,-172.522303,-90.0,top
VR9,MCP41HV51-103E_ST,SOP65P640X120-14N,217.184265,-172.146303,-90.0,top
